Order ID,Stage,GHG Type,Source,Amount,Scope
65d1e226dfaeb8cdc42f665422522d14,6. Close Orders,ch4,equipment,0.14078134904,scope2
65d1e226dfaeb8cdc42f665422522d14,6. Close Orders,ch4,electricity,0.491633862917484,scope2
65d1e226dfaeb8cdc42f665422522d14,6. Close Orders,n2o,equipment,0.018770846538666668,scope2
65d1e226dfaeb8cdc42f665422522d14,6. Close Orders,n2o,electricity,0.06555118172233121,scope2
65d1e226dfaeb8cdc42f665422522d14,commuting,co2,total,247.92772192327288,scope3
65d1e226dfaeb8cdc42f665422522d14,commuting,ch4,total,7.083649197807797,scope3
65d1e226dfaeb8cdc42f665422522d14,commuting,n2o,total,4.250189518684678,scope3
65d1e226dfaeb8cdc42f665422522d14,waste,co2,total,0.20038602931044938,scope3
65d1e226dfaeb8cdc42f665422522d14,delivery,co2,total,0.04099518580619321,scope3
65d1e226dfaeb8cdc42f665422522d14,delivery,ch4,total,0.36602844469815377,scope3
65d1e226dfaeb8cdc42f665422522d14,delivery,n2o,total,1.1468891267208818,scope3
a41c8759fbe7aab36ea07e038b2d4465,1. Deal With Orders,co2,equipment,1.7873757027030224,scope2
a41c8759fbe7aab36ea07e038b2d4465,1. Deal With Orders,co2,electricity,6.2418383343880715,scope2
a41c8759fbe7aab36ea07e038b2d4465,1. Deal With Orders,ch4,equipment,0.12234850414,scope2
a41c8759fbe7aab36ea07e038b2d4465,1. Deal With Orders,ch4,electricity,0.42726304388114267,scope2
a41c8759fbe7aab36ea07e038b2d4465,1. Deal With Orders,n2o,equipment,0.016313133885333335,scope2
a41c8759fbe7aab36ea07e038b2d4465,1. Deal With Orders,n2o,electricity,0.056968405850819026,scope2
a41c8759fbe7aab36ea07e038b2d4465,2. Communicate With Warehouse,co2,equipment,0.023855310464000003,scope2
a41c8759fbe7aab36ea07e038b2d4465,2. Communicate With Warehouse,co2,electricity,0.08330704681044018,scope2
a41c8759fbe7aab36ea07e038b2d4465,2. Communicate With Warehouse,ch4,equipment,0.0016329311999999999,scope2
a41c8759fbe7aab36ea07e038b2d4465,2. Communicate With Warehouse,ch4,electricity,0.005702490274520548,scope2
a41c8759fbe7aab36ea07e038b2d4465,2. Communicate With Warehouse,n2o,equipment,0.00021772416000000002,scope2
a41c8759fbe7aab36ea07e038b2d4465,2. Communicate With Warehouse,n2o,electricity,0.0007603320366027397,scope2
a41c8759fbe7aab36ea07e038b2d4465,3. Pack Orders,co2,equipment,28.014086254890668,scope2
a41c8759fbe7aab36ea07e038b2d4465,3. Pack Orders,co2,electricity,97.83024197106026,scope2
a41c8759fbe7aab36ea07e038b2d4465,3. Pack Orders,ch4,equipment,1.9176055392,scope2
a41c8759fbe7aab36ea07e038b2d4465,3. Pack Orders,ch4,electricity,6.69662441237863,scope2
a41c8759fbe7aab36ea07e038b2d4465,3. Pack Orders,n2o,equipment,0.25568073856,scope2
a41c8759fbe7aab36ea07e038b2d4465,3. Pack Orders,n2o,electricity,0.8928832549838174,scope2
a41c8759fbe7aab36ea07e038b2d4465,4. Prepare to Send Orders,co2,equipment,1.111425540992889,scope2
a41c8759fbe7aab36ea07e038b2d4465,4. Prepare to Send Orders,co2,electricity,3.881298451744745,scope2
a41c8759fbe7aab36ea07e038b2d4465,4. Prepare to Send Orders,ch4,equipment,0.0760787182,scope2
a41c8759fbe7aab36ea07e038b2d4465,4. Prepare to Send Orders,ch4,electricity,0.2656806059149886,scope2
a41c8759fbe7aab36ea07e038b2d4465,4. Prepare to Send Orders,n2o,equipment,0.010143829093333334,scope2
a41c8759fbe7aab36ea07e038b2d4465,4. Prepare to Send Orders,n2o,electricity,0.03542408078866515,scope2
a41c8759fbe7aab36ea07e038b2d4465,5. Deliver Orders,co2,equipment,12.822361903902578,scope2
a41c8759fbe7aab36ea07e038b2d4465,5. Deliver Orders,co2,electricity,44.77800047753832,scope2
a41c8759fbe7aab36ea07e038b2d4465,5. Deliver Orders,ch4,equipment,0.87770959184,scope2
a41c8759fbe7aab36ea07e038b2d4465,5. Deliver Orders,ch4,electricity,3.0651202030563196,scope2
a41c8759fbe7aab36ea07e038b2d4465,5. Deliver Orders,n2o,equipment,0.11702794557866668,scope2
a41c8759fbe7aab36ea07e038b2d4465,5. Deliver Orders,n2o,electricity,0.40868269374084265,scope2
a41c8759fbe7aab36ea07e038b2d4465,6. Close Orders,co2,equipment,2.2057879085288894,scope2
a41c8759fbe7aab36ea07e038b2d4465,6. Close Orders,co2,electricity,7.703009224173688,scope2
a41c8759fbe7aab36ea07e038b2d4465,6. Close Orders,ch4,equipment,0.150989437,scope2
a41c8759fbe7aab36ea07e038b2d4465,6. Close Orders,ch4,electricity,0.5272823472586188,scope2
a41c8759fbe7aab36ea07e038b2d4465,6. Close Orders,n2o,equipment,0.020131924933333337,scope2
a41c8759fbe7aab36ea07e038b2d4465,6. Close Orders,n2o,electricity,0.07030431296781584,scope2
a41c8759fbe7aab36ea07e038b2d4465,commuting,co2,total,215.305653249158,scope3
a41c8759fbe7aab36ea07e038b2d4465,commuting,ch4,total,6.151590092833087,scope3
a41c8759fbe7aab36ea07e038b2d4465,commuting,n2o,total,3.6909540556998524,scope3
a41c8759fbe7aab36ea07e038b2d4465,waste,co2,total,0.25204561362897315,scope3
a41c8759fbe7aab36ea07e038b2d4465,delivery,co2,total,0.13655149601242056,scope3
a41c8759fbe7aab36ea07e038b2d4465,delivery,ch4,total,1.2192097858251838,scope3
a41c8759fbe7aab36ea07e038b2d4465,delivery,n2o,total,3.820190662252242,scope3
d207cc272675637bfed0062edffd0818,1. Deal With Orders,co2,equipment,0.7375929465966223,scope2
d207cc272675637bfed0062edffd0818,1. Deal With Orders,co2,electricity,2.575807605686138,scope2
d207cc272675637bfed0062edffd0818,1. Deal With Orders,ch4,equipment,0.050489325519999996,scope2
d207cc272675637bfed0062edffd0818,1. Deal With Orders,ch4,electricity,0.17631783123802283,scope2
d207cc272675637bfed0062edffd0818,1. Deal With Orders,n2o,equipment,0.006731910069333334,scope2
d207cc272675637bfed0062edffd0818,1. Deal With Orders,n2o,electricity,0.02350904416506971,scope2
d207cc272675637bfed0062edffd0818,2. Communicate With Warehouse,co2,equipment,0.02584325300266667,scope2
d207cc272675637bfed0062edffd0818,2. Communicate With Warehouse,co2,electricity,0.09024930071131021,scope2
d207cc272675637bfed0062edffd0818,2. Communicate With Warehouse,ch4,equipment,0.0017690088,scope2
d207cc272675637bfed0062edffd0818,2. Communicate With Warehouse,ch4,electricity,0.00617769779739726,scope2
d207cc272675637bfed0062edffd0818,2. Communicate With Warehouse,n2o,equipment,0.00023586784000000001,scope2
d207cc272675637bfed0062edffd0818,2. Communicate With Warehouse,n2o,electricity,0.0008236930396529681,scope2
d207cc272675637bfed0062edffd0818,3. Pack Orders,co2,equipment,3.3184724797962666,scope2
d207cc272675637bfed0062edffd0818,3. Pack Orders,co2,electricity,11.588704436722317,scope2
d207cc272675637bfed0062edffd0818,3. Pack Orders,ch4,equipment,0.22715433767999996,scope2
d207cc272675637bfed0062edffd0818,3. Pack Orders,ch4,electricity,0.7932639179380959,scope2
d207cc272675637bfed0062edffd0818,3. Pack Orders,n2o,equipment,0.030287245024,scope2
d207cc272675637bfed0062edffd0818,3. Pack Orders,n2o,electricity,0.10576852239174613,scope2
d207cc272675637bfed0062edffd0818,4. Prepare to Send Orders,co2,equipment,21.22218117440907,scope2
d207cc272675637bfed0062edffd0818,4. Prepare to Send Orders,co2,electricity,74.11168440604281,scope2
d207cc272675637bfed0062edffd0818,4. Prepare to Send Orders,ch4,equipment,1.45268961492,scope2
d207cc272675637bfed0062edffd0818,4. Prepare to Send Orders,ch4,electricity,5.073054150094199,scope2
d207cc272675637bfed0062edffd0818,4. Prepare to Send Orders,n2o,equipment,0.19369194865600003,scope2
d207cc272675637bfed0062edffd0818,4. Prepare to Send Orders,n2o,electricity,0.6764072200125599,scope2
d207cc272675637bfed0062edffd0818,5. Deliver Orders,co2,equipment,14.118450740549779,scope2
d207cc272675637bfed0062edffd0818,5. Deliver Orders,co2,electricity,49.30417646455805,scope2
d207cc272675637bfed0062edffd0818,5. Deliver Orders,ch4,equipment,0.9664287850999999,scope2
d207cc272675637bfed0062edffd0818,5. Deliver Orders,ch4,electricity,3.374943627783864,scope2
d207cc272675637bfed0062edffd0818,5. Deliver Orders,n2o,equipment,0.12885717134666666,scope2
d207cc272675637bfed0062edffd0818,5. Deliver Orders,n2o,electricity,0.44999248370451517,scope2
d207cc272675637bfed0062edffd0818,6. Close Orders,co2,equipment,3.2157952476741336,scope2
d207cc272675637bfed0062edffd0818,6. Close Orders,co2,electricity,11.230137022742381,scope2
d207cc272675637bfed0062edffd0818,6. Close Orders,ch4,equipment,0.22012592964,scope2
d207cc272675637bfed0062edffd0818,6. Close Orders,ch4,electricity,0.7687194493815137,scope2
d207cc272675637bfed0062edffd0818,6. Close Orders,n2o,equipment,0.029350123952000002,scope2
d207cc272675637bfed0062edffd0818,6. Close Orders,n2o,electricity,0.10249592658420183,scope2
d207cc272675637bfed0062edffd0818,commuting,co2,total,202.2568257795121,scope3
d207cc272675637bfed0062edffd0818,commuting,ch4,total,5.778766450843203,scope3
d207cc272675637bfed0062edffd0818,commuting,n2o,total,3.467259870505922,scope3
d207cc272675637bfed0062edffd0818,waste,co2,total,0.8676278818543077,scope3
d207cc272675637bfed0062edffd0818,delivery,co2,total,0.0928144974072246,scope3
d207cc272675637bfed0062edffd0818,delivery,ch4,total,0.8287008697073627,scope3
d207cc272675637bfed0062edffd0818,delivery,n2o,total,2.5965960584164027,scope3
